Portfolio_Manager_Meter_ID,Units,Meter_Type
31548250,therms,Natural Gas
49325021,therms,Natural Gas
49325117,therms,Natural Gas
49325377,therms,Natural Gas
49440466,therms,Natural Gas
49450360,therms,Natural Gas
49327857,therms,Natural Gas
31548252,therms,Natural Gas
31548249,therms,Natural Gas
31548251,therms,Natural Gas
49324175,therms,Natural Gas
49324216,therms,Natural Gas
49324348,therms,Natural Gas
49324390,therms,Natural Gas
81413017,therms,Natural Gas
49324753,therms,Natural Gas
